Shloka Number,Title,Head Word,Sub-Head Word,Synonyms,Rasa,Guna,Virya,Vipaka,Karma,,,,
72,अथ अर्कदुग्धगुणानाह,,,,"तिक्त, लवण","स्निग्ध, लघु",उष्ण,,"कुष्ठ-गुल्मो-उदरहर, श्रेष्ठमेतद्विरेचन",,,,
73-75,अथ सेहुण्डः । तस्य नामानि गुणाँश्चाह,सेहुण्डः,,"सिंहतुण्ड, वज्री, वज्रद्रुम, सुधा, समन्तदुग्धा, स्नुक् (स्नुह), स्नुही  गुडा",कटु,"तीक्ष्ण, गुरु",,,"रेचन, दीपन, शूला-आमा-अष्ठीलिका-आध्यानकफ-गुल्मोदरा-अनिलापह, उन्माद-मोह-कुष्ठा-आर्श-शोथ-मेदो-अश्म-पाण्डुता-व्रण-शोथ-ज्वर-प्लीह-विषदूषी-विषहर",,,,
76,अथ स्नुहीदुग्धगुणानाह,,,,कटु,"स्निग्ध, लघु",उष्ण,,गुल्मि-कुष्ठि-उदररोगि-विरेका-दीर्घरोगिहितकर,,,,
78-79,अथ स्नेहुण्डभेदः शातला । तस्या नामानि गुणाँश्चाह,शातला,,"शातला, सप्तला, सारा, विमला, विदुला, भूरिफेना चर्मकषा ",तिक्त,लघु,शीत,कटु,"वातल, शोथ-कफा-आनाह-पित्तो-उदावर्त्त-रक्तजित्",,,,
80-81,अथ कलीहारी तस्या नामानि गुणाँश्चाह ,कलिहारी,,"कलिहारी, हलिनी, लाङ्गली, शुक्रपुष्पी, विशल्या, अग्निशिखा, अनन्ता,

वह्निवक्त्रा गर्भनुत् ","तिक्त, कटु, तुवर","तीक्ष्ण, लघु",उष्ण,,"सरा, कुष्ठ-शोफा-आर्शो-व्रण-शूलजित्, सक्षार, श्लेष्मजित्, कृमिहृत्, पित्तला-गर्भपातिनी",,,,
82-84,अथ श्वेतरक्तकरवीरौ।  तयोर्नामानि गुणाँश्चाह,श्वेत-रक्त-करवीरौ,,"करवीर, श्वेतपुष्प, शतकुम्भ अश्वमारक
","तिक्त, कषाय, कटु",,उष्ण,,"व्रण-लाघवकृन्नेत्रकोप-कुष्ठ-व्रणापह, कृमिकण्डूघ्न, भक्षितविषवत्",,,,
85-87,अथ धत्तूरः। तस्य नामानि गुणाँश्चाह,धत्तूरः,,"धत्तूर, धूर्त, धुत्तूर, उन्मत्त, कनकाह्वय , देवता, कितव, तूरी, महामोही, शिवप्रिय, मातुल मदन","कषाय, मधुर, तिक्त",गुरु ,उष्ण,,"मद-वर्णाग्नि-वातकृत् -ज्वर-कुष्ठनुत्, यूका-अलिक्षा-विनाशक, गुरु--र्व्रण-श्लेष्म-कण्डू-कृमिविषापह",,,,
88-90,अथ अटरूषः । तस्या नामानि गुणाँश्चाह,अटरूषकः,,"वासक, वासिका, वासा, भिषङ्‌माता, सिंहिका, सिंहास्य, वाजिदन्ता, आटरूप, अटरूषक, अटरूष, वृष, ताम्र सिंहपर्ण","तिक्त, तुवर",लघु,शीत,,"वातकृत्, स्वर्य, कफ-पित्ता-अस्रनाशन, हृद्य, तृडर्त्तिहृत्, श्वास-कास-ज्वर-च्छर्दि-मेह-कुष्ठ-क्षया-पह",,,,
91-92,अथ पर्पटः।  तस्य नामानि गुणाँश्चाह,पर्पटः,,"पर्पट, वरतिक्त, पर्पटक, पांशुपर्याय  कवचनामक",तिक्त,लघु,शीत,,"पित्ता-अस्र-भ्रम-तृष्णा-कफ-ज्वर-हर, संग्राही, दाहनुत्, वातल",,,,
93-94,अथ निम्बः।  तस्य नामानि गुणाँश्चाह,निम्बः,,"निम्ब, पिंचुमर्द, पिचुमन्द, तिक्तक, अरिष्ट, पारिभद्र हिङ्गुनिर्यास ",,लघु,शीत,कटु,"ग्रही, अग्नि-वातनुत्, अहृद्य, श्रम-तृट्कास-ज्वरा-अरुचि-कृमिप्रणुत्, व्रण-पित्त-कफ-च्छर्दि-कुष्ठ-हृल्लास-मेहनुत्",,,,
95-96,अथ निम्बस्य पत्र फलयोर्गुणानाह,,,,,,,,,,,,
,,पत्रम्,,,,,,कटु,"नेत्र्य, कृमि-पित्त-विष-प्रणुत्, वातल, सर्वारोचक-कुष्ठनुत्",,,,
,,फलम्,,,"तिक्त, कटु","स्निग्ध, लघु",उष्ण,कटु,"कुष्ठघ्न, गुल्म-आर्श-कृमि-मेह-नुत्",,,,
97-99,अथ महानिम्बः तस्य नामानि गुणाँश्चाह,महानिम्बः,,"महानिम्ब, द्रेका, रम्यक, विषमुष्टिक, केशमुष्टि, निम्बक, कार्मुक जीव","तिक्त, कषाय",रूक्ष,शीत,,"ग्राही, कफ-पित्त-भ्रम-च्छर्दि-कुष्ठ-हृल्लास-रक्त-जित्, प्रमेह-श्वास-गुल्मा-आर्शो-मूषिका-विषनाशन",,,,
100,अथ पारिभद्रः।  तस्य नामानि तत्पत्रस्य च गुणाँश्चाह,पारिभद्रः,,"पारिभद्र, निंबतक, मन्दार पारिजातक",,,,,अनिल-श्लेष्म-शोथ-मेद-कृमि-प्रणुत्,,,,
,,पत्रम्,,,,,,,"पित्तरोगघ्न, कर्णव्याधिविनाशन",,,,
101-104,अथ काञ्चनारः रक्तकाञ्च नार च तयोर्नामानि तत्पुष्पस्य गुणाँश्चाह,काञ्चनारः,,"काञ्चनार, काञ्चनक, गण्डारि शोणपुष्पक, कोविदार, भरिक, कुद्दाल, युगपत्रक, कुण्डली, ताम्रपुष्प, अश्मन्तक स्वल्पकेशरी",तुवर,"लघु, रूक्ष",शीत,,"ग्राही, श्लेष्मपित्तनुत्, कृमि-कुष्ठ-गुदभ्रंश-गण्डमाला-व्रणापह, संग्राहि, पित्ता-अस्र-प्रद-रक्षय-कासनुत्",,,,
105-108,अथ शोभाञ्जनः तन्नामानि गुणाँश्चाह,शोभाञ्जनः,,"शोभाञ्जन, शित्रु, तीक्ष्णगन्धक, अक्षीव मोचक","कटु, मधुर, क्षार, तिक्त","तीक्ष्ण, लघु, रूक्ष",उष्ण,कटु,"दीपन, रोचन, विदाहकृत्, संग्राही, शुक्रल, हृद्य, पित्त-रक्त-प्रकोपण, चक्षुष्य, कफ-वातघ्न, विद्रधि-श्वयथु-क्रिमी-मेदोऽ-अपची-विष-प्लीह-गुल्म-गण्डव्रण-हर, विशेषाद्दाहकृत्, प्लीहा-अनविद्रधि-व्रण-घ्न, पित्त-रक्तहृत्, विशेषाद्दीपन, सर",,,,
109,अथ शिग्रुवल्कलपत्रस्वरसगुणानाह,,,,,,,,स्वरसपरमार्त्तिहृत्,,,,
110,अथ शिग्रुबीजगुणानाह,,,,,तीक्ष्ण,उष्ण,,"चक्षुष्य, विषनाशन, अवृष्य, कफ-वातघ्न, शिरोऽर्त्तिनुत्",,,,
111-112,अथ श्वेतपुष्पा नीलपुष्पा चापराजिता तयोर्नामानि गुणाँश्चाह,श्वेत-नील-अपराजिता,,"आस्फोता, गिरिकर्णी, विष्णुकान्ता और अपराजिता
",,"तिक्त, कटु, कषाय",शीत,कटु,"मेध्य, कण्ठ्य, सुदृष्टिद, कुष्ठ-मूत्र-अग्निदोषा-आम-शोथ-व्रण-विषापह, स्मृतिबुद्धिद",,,,
113-114,अथ सिन्दुवीरः निर्गुण्डी इति च तयोर्नामानि गुणाँश्चाह,सिन्दुवारः,,"सिन्दुवार, सिन्दुक सिन्दुवारक  - निर्गुण्डी, शेफाली सुवहा","तिक्त, कषाय, कटु",लघु,,,"स्मृतिद, केश्य, नेत्रहित, शूल-शोथा-आम-मारुतापह, कृमि-कुष्ठा-अरुचि-श्लेष्म-ज्वरा-अनिलापह",,,,
115,अथ सिन्दुवारपत्रगुणानाह,,,,,लघु,,,जन्तु-वात-श्लेष्म-हर,,,,
116-118,अथ कुटजः तस्य नामगुणानाह,कुटजः,,"कुटज, कूटज, कौट, वत्सक, गिरिमल्लिका, कालिङ्ग, शक्रशाखी, मल्लिकापुष्प, इन्द्र , यवफल, वृक्षक पाण्डुरद्रुम
","कटु, तुवर",रूक्ष,शीत,,"दीपन, अर्शो-अतिसार-पित्ता-अस्र-कफ-तृष्णा-आम-कुष्ठ-नुत्",,,,
119-120,अथ कण्टककरञ्जघृतकरञ्जौ तयोर्नामानि गुणाँश्चाह,कण्टककरञ्ज-घृतकरञ्ज,,"करञ्ज, नक्तमाल, करज चिरबिल्वक
",कटु,तीक्ष्ण,उष्ण,,"योनिदोषहृत्, कुष्ठो-उदावर्त्त-गुल्मा-आर्शो-व्रण-क्रिमि-कफा-पह",,,,
121-122,अथ करञ्जपत्रफलगुणानाह,,,,,,,,,,,,
,,पत्रम्,,,,लघु,उष्ण,कटु,"कफ-वाता-आर्शः-कृमि-शोथ-हर, भेदन, पित्तल",,,,
,,फलम्,,,,,,,"कफ-वातघ्न, मेहा-आर्शः-कृमि-कुष्ठ-जित्",,,,
123-124,अथ करञ्जी । तस्या नामगुणानाह,करञ्जी,,"उदकीर्य, षड्ग्रन्था, हस्तिवारुणी, मर्कटी, वायसी, करञ्जी करभञ्जिका
","तिक्त, तुवर",,उष्ण,कटु,"स्तम्भनी, वमि-पित्ता-आर्शः-कृमि-कुष्ठ-प्रमेह-जित्",,,,
125-128,अथ गुञ्जा श्वेता रक्ता च । तयोर्नामगुणानाह,गुञ्जा -श्वेत-रक्ता च,,"श्वेतगुंजा, उच्चटा (श्वेतोच्चटा) कृष्णला
",,,,,"केश्य, वात-पित्त-ज्वरा-पह, मुखशोष-भ्रम-श्वास-तृष्णा-मदविनाशन, नेत्रामयहर, वृष्य-बल्य-कण्डू-व्रणहर, कृमीन्द्रलुप्त-कुष्ठ",,,,
129-130,अथ कपिकच्छूः। तस्या नामगुणानाह,कपिकच्छूः,,"कपिकच्छू, आत्मगुप्ता, वृष्या, मर्कटी, अजडा, कण्डुरा, व्यङ्गा, दुःस्पर्शा, प्रावृषायणी, लाङ्गली शूकशिम्बी","मधुर, तिक्त",गुरु,,,"वृष्य, बृंहणी, वातहर, बल्य, कफ-पित्ता-अस्र-नाशिनी",,,,
131,अथ तद्बीजगुणानाह,,,,,,,,"वातशमन, वाजीकर",,,,
132,अथ मांसरोहिणी।  तस्या नामगुणानाह,मांसरोहिणी,,"मांसरोहिणी, अतिरुहा (अग्निरुहा), वृत्ता, चर्मकषा, वसा, प्रहारवल्ली, विकशा वीरवती",,,,,"वृष्य, सर, दोषत्रयापह",,,,
133,अथ चिह्लकः 'चिह्ल' इति लोके तस्य नामगुणानाह,चिह्लकः,,,,,,,"वातनिर्हार, श्लेष्मघ्न, धातुपुष्टिकृत्, आग्नेय, मत्स्यनिषूदन",,,,
134,अथ टङ्कारी। तस्या नामगुणानाह,टङ्कारी,,,तिक्त,लघु,,,"वातजित्, श्लेष्मघ्न, दीपनी, शोथोदरव्यथाहन्त्री, पीठविसर्पिहित",,,,
135-136,अथ वेतसः।  तस्य नामगुणानाह,वेतसः,,"वेतस, नम्रक, वानीर, वञ्जुल, अभ्रपुष्प, विदुल, रथ शीत
",,,शीत,,"दाह-शोथा-आर्शो-योनि-रुक्प्रणुत्, वीसर्प-कृच्छ्रा-अस्र-पित्ता-अश्मरि-कफा-अनिलापह",,,,
137,अथ जलवेतसः। तस्य नामगुणानाह,जलवेतसः,,"निकुञ्चक, परिव्याध, नादेय जलवेतस ",,,शीत,,"कुष्ठहृत्, वातकोपन",,,,
138,अथ इज्जलः।  तस्य नामगुणानाह,इज्जलः,,"इज्जल, हिज्जल, निचुल अम्बुज",,,,,विषापह,,,,
139-140,अथ अङ्कोटः।  तस्य नामगुणानाह,अङ्कोटः,,"अंकोट, दीर्घकील, अङ्कोल निकोचक
","तुवर, कटु","लघु, तीक्ष्ण, स्निग्ध उष्ण ",,,"विसर्प-कफ-पित्ता-अस्र-मूषकाहिविषापह, कृमि-शूला-आम-शोफ-ग्रह-विषापह",,,,
141,अथ अङ्कोटफलस्य गुणानाह,,,,,,,,,,,,
,,फलम्,,,स्वादु,,शीत,गुरु,"श्लेष्मघ्न, बृंहण, बल्य, विरेचन, वात-पित्त-दाह-क्षया-अस्रजित्",,,,
142-146,अथ बलाचतुष्टयम्।  तस्य नामगुणानाह,बलाचतुष्टयम्,,"बला, वाट्यालिका, वाट्या तथा वाट्यालका
महाबला, पीतपुष्पा और सहदेवी अतिबला, ऋष्यप्रोक्ता और कङ्कतिका",मधुर,स्निग्ध,शीत,,"बलका-न्तिकृत्, ग्राहि, समीरास्र पित्तास्र क्षतनाशन, सक्षीरशर्कर-मूत्रातिसारहर, महाबलाकृच्छ्रहर, वातानुलोमिनी, अतिबलानाशन",,,,
147-148,अथ लक्ष्मणा।  तस्या लक्षणगुणानाह,लक्ष्मणा,,,,,,,पुत्रजननी,,,,
149,अथ स्वर्णवल्ली। तस्या नामगुणानाह,स्वर्णवल्ली,,"स्वर्णवल्ली, रक्तफला, काकायु और काकवल्लरी
",,,,,"शिरःपीडाहर, त्रिदोषाहर, दुग्धदा",,,,
150-152,अथ कार्पासी।  तस्या नामगुणानाह,कार्पासी,,"कार्पासी, तुण्डकेशी और समुद्रान्ता
",मधुर,लघु,उष्ण,,वातनाशिनी,,,,
,अथ तत्पत्रबीजयोर्गुणानाह,पत्रम्,,,,,,,"समीरघ्न, रक्तकृत्, मूत्रवर्द्धन, कर्णपिडका-नादपूयास्रावविनाशन",,,,
,,बीजम्,,,,"गुरु, स्निग्ध",,,"स्तन्यद, वृष्य, , कफकर",,,,
153-154,अथ वंशः।  तस्य नामगुणानाह,,,,"स्वादु, कषाय",,शीत,,"सर, बस्तिशोधन, छेदन, कफ-पित्तघ्न, कुष्ठा-अस्र-व्रण-शोथजित्",,,,
155-156,अथ वंशस्य करीरयवयोर्गुणानाह,वंशः,,"वंश, त्वक्सार, कर्मार, त्वचिसार, तृणध्वज, शतपर्वा, यवफल, वेणु, मस्कर तेजन",,,,,,,,,
,,करीर,,,"कटु, कषाय, स्वादु","रूक्ष, गुरु, ",,कटु,"सर, कफकृत्, विदाही, वात-पित्तल",,,,
,,यव,,,"कषाय, कटु",रूक्ष,उष्ण,कटु,"वात-पित्त-कर, बद्धमूत्र, कफापह",,,,
157,अथ नलः तस्य नामगुणानाह,नलः,,"नल, पोटगल, शून्यमध्य धमन ","मधुर, तिक्त, कषाय",,उष्ण,,"कफ-रक्तजित्, हृद्वस्ति-योन्यर्त्ति-दाह-पित्त-विसर्प-हृत्",,,,
158-160,अथ भद्रमुञ्जः मुञ्जश्च।  तयोर्नामगुणानाह,भद्रमुञ्जः,,"भद्रमुञ्ज, शर, बाण, तेजन और इक्षुवेष्टन ये सब नाम 'सरपत' के हैं। मुञ्ज, मुज्ञ्जातक, बाण, स्थूलदर्भ सुमेखल","मधुर, तुवर",,शीत,,"दाह-तृष्णा-विसर्पा-अस्र-मूत्र-कृच्छ्रा-अक्षिरोगजित्, दोषत्रयहर, वृष्य, मेखलोपयोगी",,,,
161-162,अथ कासः।  तस्य नामगुणानाह,कासः,,"कास, कासेक्षु, इक्षुरस, इक्ष्वालिका, इक्षुगन्धा तथा पोटगल","मधुर, तिक्त",,शीत,स्वादु,"सर, मूत्र-कृच्छ्रा-अश्म-दाहा-अस्र-क्षय-पित्तजरोगजित्",,,,
163,अथ गुन्द्रः।  तस्य नामगुणानाह,गुन्द्रः,,"गुन्द्र, पटेरक, गुल्म शृङ्गवेराभमूलक
","कषाय, मधुर",,शीत,,"पित्त-रक्तजित्, स्तन्य-शुक्र-रजो-मूत्र-शोधन, मूत्र-कृच्छ्र-हृत्",,,,
164,अथ एरका।  तस्या नामगुणानाह,एरका,,"एरका, गुन्द्रमूला, शिबि, गुन्द्रा शरी",,,शीत,,"वृष्य, चक्षुष्य, वात-कोपिनी, मूत्र-कृच्छ्रा-अश्मरी-दाह-पित्त-शोणित-नाशिनी",,,,
165-166,अथ कुशः। क्षुरपत्रश्च तयोर्नामानि गुणाँश्चाह,कुशः,,"कुश, दर्भ, बहिं, सूच्यग्र और यज्ञभूषण","मधुर, तुवर",,शीत,,"त्रिदोषघ्न, मूत्र-कृच्छ्रा-अश्मरी-तृष्णा-बस्ति-रुक्प्रदरा-अस्रजित्",,,,
167-168,अथ कत्तृणम्। तस्य नामानि गुणाँश्चाह,कत्तृणम्,,"रौहिष, देवजग्ध, सौगन्धिक, भूतिक, ध्यामपौर, श्यामक तथा धूमगन्धिक","तुवर, तिक्त",,,कटु,"रौहिष, हृत्कण्ठव्याधि-पित्ता-अस्र-शूल-कास-कफ-ज्वर-व्यपोह",,,,
169-171,अथ भूतृणम्। तस्य नामगुणानाह,भूतृणम्,,"गुह्यबीज, भूतीक, सुगन्ध, जम्बुकप्रिय, भूतृण, छत्रा और मालातृणक
","कटु, तिक्त","तीक्ष्ण, लघु, रूक्ष",उष्ण,,"रेचन, विदाहि, दीपन, अनेत्र्य, मुखशोधन, अवृष्य, बहुविट्क, पित्त-रक्तप्रदूषण",,,,
172-173,अथ नीलदूर्वा। तस्या नामानि गुणाँश्चाह,नीलदूर्वा,,"नीलदूर्वा, रुहा, अनन्ता, भार्गवी, शतपर्विका, शष्य, सहस्रवीर्या और शतवल्ली","तिक्त, मधुर, तुवर",,शीत,,कफ-पित्ता-अस्र-वीसर्प-तृष्णा-दाह-त्वगामयहर,,,,
174,अथ श्वेतदूर्वा। तस्या नामानि गुणाँश्चाह,श्वेतदूर्वा,,,"कषाय, स्वादु, तिक्त",,शीत,,"व्रण्या, जीवनी, विसर्पा-अस्र-तृट्-पित्त-कफ-दाहहृत्",,,,
175-176,अथ गण्डदूर्वा।  तस्या नामानि गुणाँश्चाह,गण्डदूर्वा,,"गण्डदूर्वा, गण्डाली, मत्स्याक्षी और शकुलादनी","तिक्त, कषाय, मधुर",लघु,शीत,कटु,"लोहद्राविणी, ग्राहिणी, वातकृत्, दाह-तृष्णा-बलासा-अस्र-कुष्ठ-पित्त-ज्वरा-पह",,,,
177-179,वाराहीकन्दः।  तस्य लक्षणनामगुणानाह,वाराहीकन्दः,,,"स्वादु, तिक्त",,,कटु,"शुक्रा-आयुः-स्वर-वर्णा-अग्नि-बल-पित्त-विवर्द्धिनी, कफ-कुष्ठ-मरुत्-मेह-कृमिहृत्, रसायनी",,,,
180-182,अथ विदारीकन्दः।  तस्य नामगुणानाह,विदारीकन्दः,,"विदारी, स्वादुकन्दा, क्रोष्ट्री, सिता, इक्षुगन्धा, क्षीरवल्ली, क्षीरशुक्ला तथा पयस्विनी",मधुर,"स्निग्ध, गुरु",शीत,,"बृंहणी, स्तन्य-शुक्रदा, स्वर्य, मूत्रल, जीवनी, बलवर्णदा, पित्ता-अस्र-पवन-दाह-हर, रसायनी",,,,
,अथ मुशलीकन्दः । तस्य लक्षणगुणानाह,,,,"मधुर, तिक्त",गुरु,उष्ण,,"बृंहणी, रसायनी, गुदजान्यनिलनाशन",,,,
183,अथ शतावरी महाशतावरी च।  तयोर्नामानि तयोः तदन्कुरस्य च गुणाँश्चाह,शतावरी महाशतावरी,,"शतावरी, बहुसुता, भीरुः, इन्दीवरी, वरी, नारायणी, शतपदी, शतवीर्या पीवरी -महाशतावरी, शतमूली, ऊर्ध्वकण्टिका, सहस्रवीर्या, हेतुः, ऋष्यप्रोक्ता महोदरी","तिक्त, स्वादु","स्निग्ध, लघु, गुरु ",शीत,,शतावरी रसायनी मेधाऽ-अग्निपुष्टिदा स्निग्धा नेत्र्या गुल्मा-अतिसारजित्  शुक्र-स्तन्य-करी वल्या वात-पित्ता-अस्र-शोथ-जित् महाशतावरी मेध्या हृद्या वृष्या रसायनी  निहन्त्य-अर्शों-ग्रहणी-नयनामयान्  तदङ्कुर-स्त्रिदोषघ्नो लघुरर्शः क्षयापहा ,,,,
184-188,अथ अश्वगन्धा।  तस्या नामगुणानाह,अश्वगन्धा,,"वराहकर्णी, वरदा, बलदा, कुष्ठगन्धिनी, ","तिक्त, कषाय",,उष्ण,,"अश्वगन्धाऽ-अनिल-श्लेष्म-श्वित्र-शोथ-क्षया-पहा, बल्या, रसायनी, अतिशुक्रला",,,,
189-190,अथ पाठा।  तस्या नामानि गुणाँश्चाह,पाठा,,"पाठा, अम्बष्ठा, अम्बष्ठकी, प्राचीना, पापचेलिका, एकाष्ठीला, रसा, पाठिका
",कटु,"तीक्ष्ण, लघु",उष्ण,,"वात-श्लेष्महरी, शूल-ज्वर-च्छर्दि-कुष्ठा-अतीसार-हृद्रुज, दाह-कण्डू-विष-श्वास-कृमि-गुल्म-गर-व्रणहर",,,,
191-192,अथ श्वेता त्रिवृत्। तस्या नामगुणानाह,श्वेतात्रिवृत्,,"श्वेता त्रिवृत्, त्रिभण्डी, त्रिवृता, त्रिपुटा, सर्वानुभूति, सरला, निशोत्रा और रेचनी
",,"स्वादु, रूक्ष",उष्ण,,"रेचनी, समीरहृत्, पित्त-ज्वर-श्लेष्म-पित्त-शोथो-उदरापहा",,,,
193-194,अथ श्यामा त्रिवृत्। तस्या नामानि गुणाँश्चाह,श्यामात्रिवृत्,,"श्यामा, त्रिवृत्, अर्धचन्द्रा, पालिन्दी, सुषेणिका, मसूरविदला, काली, कैषिका और कालमेषिका",,,,,"हीनगुणा, तीव्रविरोचिनी, मूर्च्छा-दाह-मद-भ्रान्ति-कण्ठोत्कर्षणकारिणी",,,,
195-196,अथ लघुदन्ती बृहद्दन्ती च तयोर्नामानि गुणाँश्चाह,लघुदन्ती बृहद्दन्ती च,,,कटु ,तीक्ष्ण,उष्ण,कटु,"सर, दीपन, गुदाङ्कुरा-अश्म-शूला-अस्र-कण्डू-कुष्ठ-विदाहनुत्, पित्ता-अस्र-कफ-शोथो-उदरक्रिमीहर",,,,
197-200,अथ लघुदन्तीफलम्।  तस्य गुणानाह,,,,मधुर,,शीत,मधुर,"विण्मूत्रहरण, गर-शोथ-कफापह",,,,
201,अथ जयपालः। तस्य नामानि गुणाँश्चाह,जयपालः,,"जयपाल, दन्तिबीज, तिन्तिडीफल",,"गुरु, स्निग्ध",,,"रेची, पित्त-कफा-पह",,,,
,,नागदन्ती,,,"कटु, तिक्त",रूक्ष,,कटु,"वात-कफा-पहा, मेधाकृत्, विषदोषघ्नी, गुल्म-शूलो-उदरव्याधि-कुष्ठदोष-निकृन्तनी, पाचन, शोथनाशिनी",,,,
202,अथ इन्द्रवारुणी महेन्द्रवारुणी च।  तयोर्नामगुणानाह,इन्द्रवारुणी महेन्द्रवारुणी,,"ऐन्द्री, इन्द्रवारुणी, चित्रा, गवाक्षी, गवादनी वारुणी  - विशाला, महाफला, श्वेतपुष्पा, मृगाक्षी, मृगैर्वारु मृगादनी ",तिक्त,लघु,उष्ण,कटु,"सर, कामला-पित्त-कफ-प्लीहोउदरापह, श्वास-कासा-पह, कुष्ठ-गुल्म-ग्रन्थि-व्रण-प्रणुत्, प्रमेह-मूढ-गर्भा-आम-गण्डामय-विषापह",,,,
203-206,अथ नीली। तस्या नामानि गुणाँश्चाह,नीली,,"नीली, नीलिनी, तूणी, काला, दोला, नीलिका, रञ्जनी, श्रीफली, तुच्छा, ग्रामीणा, मधुपर्णिका, क्लीतका, कालकेशी नीलपुष्पा",तिक्त,,उष्ण,,"रेचनी, केश्या, मोह-भ्रमापहा,  उदर-प्लीह-वात-रक्त-कफा-अनिलापह, आम-वात-मुदावर्त्त-मद-विषोद्धत",,,,
207-209,अथ शरपुङ्खः।  तस्य नामलक्षणगुणानाह,शरपुङ्खः,,"शरपुंख, प्लीहशत्रु और नीलीवृक्षाकृति ","तिक्त, कषाय",लघु,,,"यकृत्पीह-गुल्म-व्रण-विषा-पह, कासा-अस्र श्वास-ज्वरहर",,,,
210,अथ वृद्धदारुकः । तस्य नामगुणानाह,वृद्धदारुकः,,"वृद्धादारुक, आवेगी, छागान्त्री और वृष्यगन्धिका","कषाय, कटु, तिक्त",,उष्ण,,"रसायन, वृष्य, वाता-आम-वाता-अर्शः-शोथ-मेह-कफ-प्रणुत्, शुक्रा-आयु-र्बल-मेधा-अग्नि-स्वर-कान्तिकर, सर",,,,
211-214,अथ यवासो दुरालभा च।  तयोर्नामानि गुणाँश्चाह,यवासा दुरालभा च,,"यास, यवास, दुःस्पर्श, धन्वयास और कुनाशक दुरालभा, दुरालम्भा, समुद्रान्ता, रोदिनी, गान्धारी, कच्छुरा, अनन्ता, कषाया और हरिविग्रहा
","मधर, तिक्त, कषाय, तुवर ",लघु,शीत,,"कफ-मेदो-मद-भ्रान्ति-पित्ता-असृक्-कुष्ठ-कासजित्, तृष्णा-विसर्प-वाता-अस्र-वमि-ज्वरहर",,,,
215-218,अथ मुण्डी महामुण्डी च। तयोर्नाम गुणानाह,मुण्डी महामुण्डी,,"मुण्डी, भिक्षु, श्रावणी, तपोधना, श्रवणाह्वा, मुण्डतिका और श्रवणशीर्षका  - महाश्रावणिका, भूकदम्बिका, कदम्बपुष्पिका, अव्यथा और अतितपस्विनी
",मधुर,लघु,उष्ण,कटु,"मेध्या, गण्ड-अपची-कृच्छ्र-कृमि-योन्यर्त्ति-पाण्डुनुत्, श्लीपदा-अरुचि-अपस्मार-प्लीह-मेदो-गुदार्तिहृत्",,,,
219-220,अथ अपामार्गः। तस्य नामानि गुणाँश्चाह,अपामार्गः,,"अपामार्ग, शिखरी, अधःशल्य, मयूरक, मर्कटी, दुर्ग्रहा, किणिही, खरमञ्जरी","तिक्त, कटु",तीक्ष्ण ,,,"सर, तीक्ष्ण, दीपन, पाचन, रोचन-श्छर्दि-कफ-मेदो-अनिलापह, हृद्रुजा-अध्मा-अर्शः-कण्डू-शूलो-उदरा-अपचीः",,,,
221-222,अथ रक्तापमार्गः। तस्य नामानि गुणाँश्चाह,रक्तापमार्गः,,"वशिर, वृत्तफल, धामार्गव, प्रत्यक्पर्णी, केशपर्णी, कपिपिप्पली",,रूक्ष,शीत,,"वातविष्टम्भी, कफहृत्",,,,
223,अथ अपामार्गफलगुणानाह,,,,स्वादु,रुक्ष ,,स्वादु ,"दुर्जर, विष्टम्भि, वातल, रक्त-पित्तप्रसादन",,,,
224-225,अथ कोकिलाक्षः। तस्य नामानि गुणाँश्चाह,कोकिलाक्षः,,"कोकिलाक्ष, काकेक्षु, इक्षुर, क्षुरक, क्षुर, भिक्षु, काण्डेक्षु, इक्षुगन्धा और इक्षुबालिका ","तिक्त, स्वादु, अम्ल",पिच्छिल ,शीत,,"वृष्य, पिच्छिल, वाता-आम-शोथा-अश्म-तृष्णा-दृष्टि -अनिला-अस्रजित्",,,,
226-227,अथ अस्थिसंहारः।  तस्य नामानि गुणाँश्चाह,अस्थिसंहारकः,,"ग्रन्थिमान्, अस्थिसंहारी, वज्राङ्गी, अस्थिश्रृंखला,",स्वादु,"रूक्ष, लघु,",उष्ण,,"वात-श्लेष्महर, अस्थियुक्, सर, कृमिघ्न, दुर्नामघ्न, अक्षिरो-गजित्, वृष्य, पाचन, पित्तल",,,,
228,अथ तद्वटिकाया निर्माणविधिं गुणाँश्चाह,,,,,,,,वातहारि,,,,
229-230,अथ कुमारी।  तस्या नामगुणानाह,कुमारी,,"कुमारी, गृहकन्या, कन्या और घृतकुमारिका","मधुर, तिक्त",,शीत,,"भेदनी, नेत्र्या, रसायनी, बृंहणी, बल्या, वृष्या, वात-विषप्रणुत्, गुल्म-प्लीह-यकृत्वृद्धि-कफ-ज्वर-हरी, ग्रन्थ्यग्निदग्धविस्फोट-पित्त-रक्त-त्वगामयहर",,,,
231,अथ श्वेतपुनर्नवा। तस्या नामानि गुणाँश्चाह,श्वेतपुनर्णवा,,"पुनर्नवा, श्वेतमूला, शोथघ्नी और दीर्घपत्रिका ","कटु, कषाय",,,,"पाण्डुघ्नी, दीपनी, शोफा-अनिल-गर-श्लेष्म-हरी, ब्रध्नो-उदरप्रणुत्",,,,
